song title,artist/band name,year,lyrics url
Don't Say It's Over,Randy Crawford,1993,https://www.azlyrics.com/lyrics/randycrawford/dontsayitsover.html
Angel,John Hiatt,1993,https://www.azlyrics.com/lyrics/johnhiatt/angel.html
Picture Postcards From L.A.,"Kadison, Joshua",1993,https://www.azlyrics.com/lyrics/joshuakadison/picturepostcardsfromla.html
Do Re Mi,Nanci Griffith,1993,https://www.azlyrics.com/lyrics/nancigriffith/doremi.html
Late At Night,Buffalo Tom,1993,https://www.azlyrics.com/lyrics/buffalotom/lateatnight.html
Everytime,Rick Astley,1993,https://www.azlyrics.com/lyrics/rickastley/everytime.html
On The Dunes,Donald Fagen,1993,https://www.azlyrics.com/lyrics/donaldfagen/onthedunes.html
The Song Of Solomon,"Bush, Kate",1993,https://www.azlyrics.com/lyrics/katebush/thesongofsolomon.html
Can't Get Enough Of Your Love,Taylor Dayne,1993,https://www.azlyrics.com/lyrics/taylordayne/cantgetenoughofyourlove.html
Heartland Feeling,Beck,1993,https://www.azlyrics.com/lyrics/beck/heartlandfeeling.html
Pegasus,Olivia Newton-John,1994,https://www.azlyrics.com/lyrics/olivianewtonjohn/pegasus.html
Let's Take A Walk Around The Block,Ella Fitzgerald,1994,https://www.azlyrics.com/lyrics/ellafitzgerald/letstakeawalkaroundtheblock.html
The Song Is Ended (But The Melody Lingers On),"Fitzgerald, Ella",1994,https://www.azlyrics.com/lyrics/ellafitzgerald/thesongisendedbutthemelodylingerson.html
The Country Diary Of A Subway Conductor,Silver Jews,1994,https://www.azlyrics.com/lyrics/silverjews/thecountrydiaryofasubwayconductor.html
I Will Tell The World,"Boltz, Ray",1994,https://www.azlyrics.com/lyrics/rayboltz/iwilltelltheworld.html
Como No Ser Fiel,Pesado,1994,https://www.azlyrics.com/lyrics/pesado/comonoserfiel.html
Symbols,Refused,1994,https://www.azlyrics.com/lyrics/refused/symbols.html
Island Of Shame,Lagwagon,1994,https://www.azlyrics.com/lyrics/lagwagon/islandofshame.html
Headphones,Bjork,1995,https://www.azlyrics.com/lyrics/bjork/headphones.html
1994,Loudon Wainwright III,1995,https://www.azlyrics.com/lyrics/loudonwainwrightiii/1994.html
Outside,"Bowie, David",1995,https://www.azlyrics.com/lyrics/davidbowie/outside.html
Red Light - Green Light(Reissue Bonus Track),"Wildhearts, The",1995,https://www.azlyrics.com/lyrics/wildhearts/redlightgreenlight.html
Love Is Just Around The Corner,"Sinatra, Frank",1995,https://www.azlyrics.com/lyrics/franksinatra/loveisjustaroundthecorner.html
The Rift,"Neil, Vince",1995,https://www.azlyrics.com/lyrics/vinceneil/therift.html
U've Got It,Beverley Knight,1995,https://www.azlyrics.com/lyrics/beverleyknight/uvegotit.html
Tell Me When,Soul Asylum,1995,https://www.azlyrics.com/lyrics/soulasylum/tellmewhen.html
Don't Go And Put A Bullet In Your Head,Lenny Kravitz,1995,https://www.azlyrics.com/lyrics/lennykravitz/dontgoandputabulletinyourhead.html
How Would Jesus Feel,"Moffatts, The",1996,https://www.azlyrics.com/lyrics/moffatts/howwouldjesusfeel.html
Watcher Of The Skies,Steve Hackett,1996,https://www.azlyrics.com/lyrics/stevehackett/watcheroftheskies.html
Steve Polychronopolous,Adam Sandler,1996,https://www.azlyrics.com/lyrics/adamsandler/stevepolychronopolous.html
I Was A Prisoner In Your Skull,Swans,1996,https://www.azlyrics.com/lyrics/swans/iwasaprisonerinyourskull.html
Keep Pimpin',E-40,1996,https://www.azlyrics.com/lyrics/e40/keeppimpin.html
Brimstone And Fire,Cyndi Lauper,1996,https://www.azlyrics.com/lyrics/cyndilauper/brimstoneandfire.html
Farside Of The World,Ayreon,1996,https://www.azlyrics.com/lyrics/ayreon/farsideoftheworld.html
What's The World Got In Store,Wilco,1996,https://www.azlyrics.com/lyrics/wilco/whatstheworldgotinstore.html
Hung Up And Overdue,Tom Petty And The Heartbreakers,1996,https://www.azlyrics.com/lyrics/tompettyandtheheartbreakers/hungupandoverdue.html
Hold Her Closer,Blessid Union Of Souls,1997,https://www.azlyrics.com/lyrics/blessidunionofsouls/holdhercloser.html
You Can Move Mountains,Stiff Little Fingers,1997,https://www.azlyrics.com/lyrics/stifflittlefingers/youcanmovemountains.html
Don't Waste No Time,Scooter,1997,https://www.azlyrics.com/lyrics/scooter/dontwastenotime.html
On The Dark Side Of Town,"Ian, Janis",1997,https://www.azlyrics.com/lyrics/janisian/onthedarksideoftown.html
"O Come, All Ye Faithful",Judy Collins,1997,https://www.azlyrics.com/lyrics/judycollins/ocomeallyefaithful.html
Concrete Girl,Switchfoot,1997,https://www.azlyrics.com/lyrics/switchfoot/concretegirl.html
An Old Fashioned Love Song,"Williams, Paul",1997,https://www.azlyrics.com/lyrics/paulwilliams/anoldfashionedlovesong.html
The Island,Maureen McGovern,1997,https://www.azlyrics.com/lyrics/maureenmcgovern/theisland.html
So Young,"Corrs, The",1997,https://www.azlyrics.com/lyrics/corrs/soyoung.html
The Night Pat Murphy Died,Great Big Sea,1997,https://www.azlyrics.com/lyrics/greatbigsea/thenightpatmurphydied.html
My Little Needle,Alkaline Trio,1998,https://www.azlyrics.com/lyrics/alkalinetrio/mylittleneedle.html
Bongo Bong,"Chao, Manu",1998,https://www.azlyrics.com/lyrics/manuchao/bongobong.html
Through To Myself(Reissue Bonus Track),David Gray,1998,https://www.azlyrics.com/lyrics/davidgray/throughtomyself.html
I'm The Girl,Heather Nova,1998,https://www.azlyrics.com/lyrics/heathernova/imthegirl.html
Vengo Del Mar,Natalia Oreiro,1998,https://www.azlyrics.com/lyrics/nataliaoreiro/vengodelmar.html
Days Were Golden,Sunny Day Real Estate,1998,https://www.azlyrics.com/lyrics/sunnydayrealestate/daysweregolden.html
Bye Bye,"Crawford, Randy",1998,https://www.azlyrics.com/lyrics/randycrawford/byebye.html
Back In The Saddle Again,"Autry, Gene",1998,https://www.azlyrics.com/lyrics/geneautry/backinthesaddleagain.html
Just Watch Your Mama And Me,Waylon Jennings,1998,https://www.azlyrics.com/lyrics/waylonjennings/justwatchyourmamaandme.html
William H. Bonney,Deep Blue Something,1998,https://www.azlyrics.com/lyrics/deepbluesomething/williamhbonney.html
I Used To Love Him,Lauryn Hill,1998,https://www.azlyrics.com/lyrics/laurynhill/iusedtolovehim.html
Hey Henry,"James, Etta",1998,https://www.azlyrics.com/lyrics/ettajames/heyhenry.html
I'm In That Kind Of Mood,Alabama,1999,https://www.azlyrics.com/lyrics/alabama/iminthatkindofmood.html
Kill Em Live(Bonus Track),Public Enemy,1999,https://www.azlyrics.com/lyrics/publicenemy/killemlive.html
Mind Like A Tree,Scorpions,1999,https://www.azlyrics.com/lyrics/scorpions/mindlikeatree.html
Todo Inventamos,Julieta Venegas,2000,https://www.azlyrics.com/lyrics/julietavenegas/todoinventamos.html
Step Inside,Melanie B,2000,https://www.azlyrics.com/lyrics/melanieb/stepinside.html
Postcard Home,"Lost Trailers, The",2000,https://www.azlyrics.com/lyrics/losttrailers/postcardhome.html
All I Want,Jump5,2001,https://www.azlyrics.com/lyrics/jump5/alliwant.html
Weather To Do,Flotsam & Jetsam,2001,https://www.azlyrics.com/lyrics/flotsamjetsam/weathertodo.html
"Holy Spirit, Come Fill This Place",Cece Winans,2001,https://www.azlyrics.com/lyrics/cecewinans/holyspiritcomefillthisplace.html
History Repeats Itself,Pulley,2001,https://www.azlyrics.com/lyrics/pulley/historyrepeatsitself.html
"Of Stone, Wind And Pillor",Agalloch,2001,https://www.azlyrics.com/lyrics/agalloch/ofstonewindandpillor.html
Stuttering,Wild Orchid,2001,https://www.azlyrics.com/lyrics/wildorchid/stuttering.html
Dead Bury Their Dead,Arch Enemy,2001,https://www.azlyrics.com/lyrics/archenemy/deadburytheirdead.html
"California, Gracefully",Every Time I Die,2001,https://www.azlyrics.com/lyrics/everytimeidie/californiagracefully.html
She Needs My Love,"Marley, Damian",2001,https://www.azlyrics.com/lyrics/damianmarley/sheneedsmylove.html
El Monstruo,Alejandro Fernandez,2001,https://www.azlyrics.com/lyrics/alejandrofernandez/elmonstruo.html
Date Al Diavolo Un Bimbo Per Cena,Jovanotti,2002,https://www.azlyrics.com/lyrics/jovanotti/datealdiavolounbimbopercena.html
Vrienden,BLØF,2002,https://www.azlyrics.com/lyrics/blof/vrienden.html
Without You,Donny Osmond,2002,https://www.azlyrics.com/lyrics/donnyosmond/withoutyou.html
I Will Refuse(Japanese Bonus Track),Soulfly,2002,https://www.azlyrics.com/lyrics/soulfly/iwillrefuse.html
Wake Up April,"Promise Ring, The",2002,https://www.azlyrics.com/lyrics/promisering/wakeupapril.html
"Dim Lights, Thick Smoke (And Loud, Loud Music)",Daryle Singletary,2002,https://www.azlyrics.com/lyrics/darylesingletary/dimlightsthicksmokeandloudloudmusic.html
Peace The Fuck Out,Travis,2003,https://www.azlyrics.com/lyrics/travis/peacethefuckout.html
Jadi Saja,Kahitna,2003,https://www.azlyrics.com/lyrics/kahitna/jadisaja.html
Blood On Your Hands,Killing Joke,2003,https://www.azlyrics.com/lyrics/killingjoke/bloodonyourhands.html
Inviting,Rob Mills,2004,https://www.azlyrics.com/lyrics/robmills/inviting.html
Dama Negra,Mägo De Oz,2004,https://www.azlyrics.com/lyrics/mgodeoz/damanegra.html
"Baby, It's Cold Outside","Simpson, Jessica",2004,https://www.azlyrics.com/lyrics/jessicasimpson/babyitscoldoutside.html
Nobody Knows Me Like You,Phil Vassar,2004,https://www.azlyrics.com/lyrics/philvassar/nobodyknowsmelikeyou.html
What We Know Now,Restless Heart,2004,https://www.azlyrics.com/lyrics/restlessheart/whatweknownow.html
Amazing,George Michael,2004,https://www.azlyrics.com/lyrics/georgemichael/amazing.html
We As Americans,Eminem,2004,https://www.azlyrics.com/lyrics/eminem/weasamericans.html
Dead,Zoe,2005,https://www.azlyrics.com/lyrics/zoe/dead.html
Modern World,Wolf Parade,2005,https://www.azlyrics.com/lyrics/wolfparade/modernworld.html
Tha Past,Kurupt,2005,https://www.azlyrics.com/lyrics/kurupt/thapast.html
The Bell And The Hammer,This Day & Age,2006,https://www.azlyrics.com/lyrics/thisdayage/thebellandthehammer.html
Trophy Scars,Converge,2006,https://www.azlyrics.com/lyrics/converge/trophyscars.html
Far Away,Ilse DeLange,2006,https://www.azlyrics.com/lyrics/ilsedelange/faraway.html
Will,Ayumi Hamasaki,2006,https://www.azlyrics.com/lyrics/ayumihamasaki/will.html
The Songs That We Sing,"Gainsbourg, Charlotte",2006,https://www.azlyrics.com/lyrics/charlottegainsbourg/thesongsthatwesing.html
Power Player,Clutch,2007,https://www.azlyrics.com/lyrics/clutch/powerplayer.html
Don't Let Me Go,Melanie C,2007,https://www.azlyrics.com/lyrics/melaniec/dontletmego.html
Vision,Black Rebel Motorcycle Club,2007,https://www.azlyrics.com/lyrics/blackrebelmotorcycleclub/vision.html
Heartbreak Song,"Chiu, Kim",2007,https://www.azlyrics.com/lyrics/kimchiu/heartbreaksong.html
White Tooth Man,Iron & Wine,2007,https://www.azlyrics.com/lyrics/ironwine/whitetoothman.html
Take Us Somewhere New,Mr Hudson,2007,https://www.azlyrics.com/lyrics/mrhudson/takeussomewherenew.html
Me Sacaron Del Tenampa,Ramon Ayala,2007,https://www.azlyrics.com/lyrics/ramonayala/mesacarondeltenampa.html
Life Time Lover,J Boog,2008,https://www.azlyrics.com/lyrics/jboog/lifetimelover.html
Landslide,Boyce Avenue,2008,https://www.azlyrics.com/lyrics/boyceavenue/landslide.html
A Kiss Is Not A Contract,Flight Of The Conchords,2008,https://www.azlyrics.com/lyrics/flightoftheconchords/akissisnotacontract.html
On Fire,JJ Grey & Mofro,2008,https://www.azlyrics.com/lyrics/jjgreymofro/onfire.html
When It's Over,3 Doors Down,2008,https://www.azlyrics.com/lyrics/3doorsdown/whenitsover.html
Around The Bend,Randy Travis,2008,https://www.azlyrics.com/lyrics/randytravis/aroundthebend.html
Suicide Doors,"Banner, David",2008,https://www.azlyrics.com/lyrics/davidbanner/suicidedoors.html
Colors,Jay Electronica,2008,https://www.azlyrics.com/lyrics/jayelectronica/colors.html
Masterswarm,"Bird, Andrew",2009,https://www.azlyrics.com/lyrics/andrewbird/masterswarm.html
Zindan,No. 1,2009,https://www.azlyrics.com/lyrics/no1/zindan.html
Rather Be Me,Lloyd Banks,2009,https://www.azlyrics.com/lyrics/lloydbanks/ratherbeme.html
"Tighter, Tighter","James, Tommy",2009,https://www.azlyrics.com/lyrics/tommyjames/tightertighter.html
House Of Rats,Modern Day Escape,2009,https://www.azlyrics.com/lyrics/moderndayescape/houseofrats.html
Can't Come,"Vile, Kurt",2009,https://www.azlyrics.com/lyrics/kurtvile/cantcome.html
You And Me,SOJA,2009,https://www.azlyrics.com/lyrics/soja/youandme.html
We Won't Give Up,"Afters, The",2010,https://www.azlyrics.com/lyrics/afters/wewontgiveup.html
Bullets In The Gun,Toby Keith,2010,https://www.azlyrics.com/lyrics/tobykeith/bulletsinthegun.html
My Heart Beats For Love,"Cyrus, Miley",2010,https://www.azlyrics.com/lyrics/mileycyrus/myheartbeatsforlove.html
Chill Out,Lil Boosie,2010,https://www.azlyrics.com/lyrics/lilboosie/chillout.html
Ohne Namen(Hidden Track),RAF Camora,2010,https://www.azlyrics.com/lyrics/rafcamora/ohnenamen.html
If I Have To Wait,Toni Braxton,2010,https://www.azlyrics.com/lyrics/tonibraxton/ifihavetowait.html
Remember A Time,Story Of The Year,2010,https://www.azlyrics.com/lyrics/storyoftheyear/rememberatime.html
Rooftops,Jesus Culture,2010,https://www.azlyrics.com/lyrics/jesusculture/rooftops.html
Superfast Jellyfish,Gorillaz,2010,https://www.azlyrics.com/lyrics/gorillaz/superfastjellyfish.html
Accelerated Evolution,Allegaeon,2010,https://www.azlyrics.com/lyrics/allegaeon/acceleratedevolution.html
Virgen De Guadalupe,"Griffin, Patty",2010,https://www.azlyrics.com/lyrics/pattygriffin/virgendeguadalupe.html
The Upsetter,Jack Johnson,2010,https://www.azlyrics.com/lyrics/jackjohnson/theupsetter.html
Walk Of Shame,"Cole, Kimberly",2010,https://www.azlyrics.com/lyrics/kimberlycole/walkofshame.html
Wrong Again,Mindy McCready,2010,https://www.azlyrics.com/lyrics/mindymccready/wrongagain.html
Stitch Me Up,Julian Perretta,2010,https://www.azlyrics.com/lyrics/julianperretta/stitchmeup.html
Fast Car,Boyce Avenue,2010,https://www.azlyrics.com/lyrics/boyceavenue/fastcar.html
Electrified,Johnny Stimson,2010,https://www.azlyrics.com/lyrics/johnnystimson/electrified.html
Einstein,"Clarkson, Kelly",2011,https://www.azlyrics.com/lyrics/kellyclarkson/einstein.html
Take A Picture,David Dallas,2011,https://www.azlyrics.com/lyrics/daviddallas/takeapicture.html
How I Wanna Go,"Nichols, Joe",2011,https://www.azlyrics.com/lyrics/joenichols/howiwannago.html
Pra Ser Perfeito,Michel Telo,2011,https://www.azlyrics.com/lyrics/micheltelo/praserperfeito.html
The Boy,Tom Rosenthal,2011,https://www.azlyrics.com/lyrics/tomrosenthal/theboy.html
Swanee River,Hugh Laurie,2011,https://www.azlyrics.com/lyrics/hughlaurie/swaneeriver.html
Murder At Midnight,Powerwolf,2011,https://www.azlyrics.com/lyrics/powerwolf/murderatmidnight.html
Annie Waits,"Folds, Ben",2011,https://www.azlyrics.com/lyrics/benfolds/anniewaits.html
An Manchen Tagen,Silla,2011,https://www.azlyrics.com/lyrics/silla/anmanchentagen.html
Slangin Birds,2 Chainz,2011,https://www.azlyrics.com/lyrics/2chainz/slanginbirds.html
Archspire,Archspire,2011,https://www.azlyrics.com/lyrics/archspire/archspire.html
Nowhere To Go,"Hannigan, Lisa",2011,https://www.azlyrics.com/lyrics/lisahannigan/nowheretogo.html
I Want Somebody (Bitch About),"Chenoweth, Kristin",2011,https://www.azlyrics.com/lyrics/kristinchenoweth/iwantsomebodybitchabout.html
Hurricane,Ilse DeLange,2012,https://www.azlyrics.com/lyrics/ilsedelange/hurricane.html
Two Way Radio(iTunes Bonus Track),Scars On 45,2012,https://www.azlyrics.com/lyrics/scarson45/twowayradio.html
Frat House,Slaughterhouse,2012,https://www.azlyrics.com/lyrics/slaughterhouse/frathouse.html
Narrow Way,Bob Dylan,2012,https://www.azlyrics.com/lyrics/bobdylan/narrowway.html
White Girl In Paris,JoJo,2012,https://www.azlyrics.com/lyrics/jojo/whitegirlinparis.html
Prehistoric,"Now, Now",2012,https://www.azlyrics.com/lyrics/nownow/prehistoric.html
Strut,Aleesia,2012,https://www.azlyrics.com/lyrics/aleesia/strut.html
Schlaflos,"Oerding, Johannes",2013,https://www.azlyrics.com/lyrics/johannesoerding/schlaflos.html
Fuck Up Da Fun,"Roth, Asher",2013,https://www.azlyrics.com/lyrics/asherroth/fuckupdafun.html
Nashville,Dylan Holland,2013,https://www.azlyrics.com/lyrics/dylanholland/nashville.html
Godiva,Heaven Shall Burn,2013,https://www.azlyrics.com/lyrics/heavenshallburn/godiva.html
Solar,Inner Wave,2013,https://www.azlyrics.com/lyrics/innerwave/solar.html
Como Tiene Que Ser,Arcángel,2013,https://www.azlyrics.com/lyrics/arcangel/comotienequeser.html
Moved By You,India.Arie,2013,https://www.azlyrics.com/lyrics/indiaarie/movedbyyou.html
Wenn Du Liebst,Adel Tawil,2013,https://www.azlyrics.com/lyrics/adeltawil/wennduliebst.html
Suite IV Electric Overture,Janelle Monáe,2013,https://www.azlyrics.com/lyrics/janellemone/suiteivelectricoverture.html
When You Say Nothing At All,Christian Bautista,2014,https://www.azlyrics.com/lyrics/christianbautista/whenyousaynothingatall.html
Crossroads,"James, Shawn",2014,https://www.azlyrics.com/lyrics/shawnjames/crossroads.html
Nada,DVICIO,2014,https://www.azlyrics.com/lyrics/dvicio/nada.html
Reason,Erasure,2014,https://www.azlyrics.com/lyrics/erasure/reason.html
Dopehead,Slaine,2014,https://www.azlyrics.com/lyrics/slaine/dopehead.html
Early Morning Rain,"Young, Neil",2014,https://www.azlyrics.com/lyrics/neilyoung/earlymorningrain.html
Ain't Too Hard To Live Without Love,"Verve Pipe, The",2014,https://www.azlyrics.com/lyrics/vervepipe/ainttoohardtolivewithoutlove.html
"Love & Sex, Pt. 2",Joe,2014,https://www.azlyrics.com/lyrics/joe/lovesexpt2.html
Zero Fahrenheit(iTunes Bonus Track),"Mateo, Abraham",2014,https://www.azlyrics.com/lyrics/abrahammateo/zerofahrenheit.html
The Interlude,Rob Bailey & The Hustle Standard,2015,https://www.azlyrics.com/lyrics/robbaileythehustlestandard/theinterlude.html
...goingtohell,Miguel,2015,https://www.azlyrics.com/lyrics/miguel/goingtohell.html
Roses,ABRA,2015,https://www.azlyrics.com/lyrics/abra490149/roses.html
Big Bad Wolf,Elliot Moss,2015,https://www.azlyrics.com/lyrics/elliotmoss/bigbadwolf.html
Running Free,Stone Sour,2015,https://www.azlyrics.com/lyrics/stonesour/runningfree.html
KEEP DA O'S,"Tyler, The Creator",2015,https://www.azlyrics.com/lyrics/tylerthecreator/keepdaos.html
Lasciami Andare,Levante,2015,https://www.azlyrics.com/lyrics/levante/lasciamiandare.html
Guess This Is Love,Common Kings,2015,https://www.azlyrics.com/lyrics/commonkings/guessthisislove.html
Borrowing,Tom Rosenthal,2015,https://www.azlyrics.com/lyrics/tomrosenthal/borrowing.html
Beacon,RY X,2016,https://www.azlyrics.com/lyrics/ryx/beacon.html
Kali Kedua,Raisa,2016,https://www.azlyrics.com/lyrics/raisa/kalikedua.html
"Der Junge, Der Rennt",Max Giesinger,2016,https://www.azlyrics.com/lyrics/maxgiesinger/derjungederrennt.html
Left Me Standing,"Answer, The",2016,https://www.azlyrics.com/lyrics/answer/leftmestanding.html
Not Too Young,"Ddumba, Sabina",2016,https://www.azlyrics.com/lyrics/sabinaddumba/nottooyoung.html
Sick Flick,Lordi,2016,https://www.azlyrics.com/lyrics/lordi/sickflick.html
Ambition Of A Rider,Lud Foe,2016,https://www.azlyrics.com/lyrics/ludfoe/ambitionofarider.html
Salt And Shadow,Thrice,2016,https://www.azlyrics.com/lyrics/thrice/saltandshadow.html
In A Chinese Alley,Cass McCombs,2016,https://www.azlyrics.com/lyrics/cassmccombs/inachinesealley.html
Met-Amor-Phosis,"Mission, The",2016,https://www.azlyrics.com/lyrics/mission/metamorphosis.html
360,JILLZAY,2016,https://www.azlyrics.com/lyrics/jillzay/360.html
Lights Out,Hippie Sabotage,2017,https://www.azlyrics.com/lyrics/hippiesabotage/lightsout.html
The Waiter,Dani Faiv,2017,https://www.azlyrics.com/lyrics/danifaiv/thewaiter.html
Chapstick,"Sartorius, Jacob",2017,https://www.azlyrics.com/lyrics/jacobsartorius/chapstick.html
Legends,Kelsea Ballerini,2017,https://www.azlyrics.com/lyrics/kelseaballerini/legends.html
Appropriate,Priests,2017,https://www.azlyrics.com/lyrics/priests/appropriate.html
Uncomfortable,iAmJakeHill,2017,https://www.azlyrics.com/lyrics/iamjakehill/uncomfortable.html
Groovy,Coast Modern,2017,https://www.azlyrics.com/lyrics/coastmodern/groovy.html
Don't Look Back,Dia Frampton,2017,https://www.azlyrics.com/lyrics/diaframpton/dontlookback.html
Lately,"Vickery, James",2017,https://www.azlyrics.com/lyrics/jamesvickery/lately.html
Dreamer Interlude,Maurice Moore,2017,https://www.azlyrics.com/lyrics/mauricemoore/dreamerinterlude.html
I'm Alright,Great White,2017,https://www.azlyrics.com/lyrics/greatwhite/imalright.html
R.I.P.,Mikky Ekko,2018,https://www.azlyrics.com/lyrics/mikkyekko/rip.html
Rose2,"Rayman, Allan",2018,https://www.azlyrics.com/lyrics/allanrayman/rose2.html
Noise,"Courtney Wilson, Brian",2018,https://www.azlyrics.com/lyrics/briancourtneywilson/noise.html
Hallelujah,Diamond Platnumz,2018,https://www.azlyrics.com/lyrics/diamondplatnumz/hallelujah.html
Bad Luck,"Case, Neko",2018,https://www.azlyrics.com/lyrics/nekocase/badluck.html
Opps,"Lamar, Kendrick",2018,https://www.azlyrics.com/lyrics/vincestaples/opps.html
Heavenly Body,Lloyd,2018,https://www.azlyrics.com/lyrics/lloyd/heavenlybody.html
Traube Minze,Luciano,2018,https://www.azlyrics.com/lyrics/luciano/traubeminze.html
Mindfucker,Sheck Wes,2018,https://www.azlyrics.com/lyrics/sheckwes/mindfucker.html
Low Blow(Deluxe Edition Bonus Track),Kylie Minogue,2018,https://www.azlyrics.com/lyrics/kylieminogue/lowblow.html
Introduction,Call Me Karizma,2018,https://www.azlyrics.com/lyrics/callmekarizma/introduction.html
Vengo De La Cima,Ulices Chaidez,2018,https://www.azlyrics.com/lyrics/uliceschaidezysusplebes/vengodelacima.html
Don't,Nebu Kiniza,2018,https://www.azlyrics.com/lyrics/nebukiniza/dont.html
Cloud Of Hate,Superchunk,2018,https://www.azlyrics.com/lyrics/superchunk/cloudofhate.html
Make It Sting,Niki & Gabi,2018,https://www.azlyrics.com/lyrics/nikigabi/makeitsting.html
0%,"Funds, Kojo",2018,https://www.azlyrics.com/lyrics/kojofunds/0.html
Gold,GRLwood,2019,https://www.azlyrics.com/lyrics/grlwood/gold.html
All Out,Locket,2019,https://www.azlyrics.com/lyrics/locket/allout.html
Stash,Tyga,2019,https://www.azlyrics.com/lyrics/tyga/stash.html
Dick Pic,"Sandler, Adam",2019,https://www.azlyrics.com/lyrics/adamsandler/dickpic.html
Where Did I Go Wrong,J. Stalin,2019,https://www.azlyrics.com/lyrics/jstalin/wheredidigowrong.html
The Darker The Weather // The Better The Man,MISSIO,2019,https://www.azlyrics.com/lyrics/missio/thedarkertheweatherthebettertheman.html
Jingle Holiday,"Bishop, Stephen",2019,https://www.azlyrics.com/lyrics/stephenbishop/jingleholiday.html
My Bad,Yung Tory,2019,https://www.azlyrics.com/lyrics/yungtory/mybad.html
Apply The Pressure,Trippie Redd,2019,https://www.azlyrics.com/lyrics/trippieredd/applythepressure.html
Action,"Bellinger, Eric",2019,https://www.azlyrics.com/lyrics/ericbellinger/action.html
Galley Girl,Richard Hawley,2019,https://www.azlyrics.com/lyrics/richardhawley/galleygirl.html
Still The Good Old Days,Sheryl Crow,2019,https://www.azlyrics.com/lyrics/sherylcrow/stillthegoodolddays.html
Hood Gunna,Lil Gotit,2019,https://www.azlyrics.com/lyrics/lilgotit/hoodgunna.html
Sicc Sence,Brotha Lynch Hung,2019,https://www.azlyrics.com/lyrics/brothalynchhung/siccsence.html
Wasteman,"Underachievers, The",2019,https://www.azlyrics.com/lyrics/the-underachievers/wasteman.html
Revenge Of The Intern,Khary,2020,https://www.azlyrics.com/lyrics/khary/revengeoftheintern.html
Houlihans At The Holiday Inn,Colter Wall,2020,https://www.azlyrics.com/lyrics/colterwall/houlihansattheholidayinn.html
SSPLIN,Siuzanna (Сюзанна),2020,https://www.azlyrics.com/lyrics/siuzanna/ssplin.html
Disgusting,"MacDonald, Tom",2020,https://www.azlyrics.com/lyrics/tommacdonald/disgusting.html
While God Was Sleepin'...,Kari Faux,2020,https://www.azlyrics.com/lyrics/karifaux/whilegodwassleepin.html
Fake Girl Town,RaeLynn,2020,https://www.azlyrics.com/lyrics/raelynn/fakegirltown.html
Got The Guap,Lil Uzi Vert,2020,https://www.azlyrics.com/lyrics/liluzivert/gottheguap.html
Moula Moula,Kaaris,2020,https://www.azlyrics.com/lyrics/kaaris/moulamoula.html
Vibe (If I Back It Up),Cookiee Kawaii,2020,https://www.azlyrics.com/lyrics/cookieekawaii/vibe.html
Thinkin' 'Bout You All Night,Reckless Kelly,2020,https://www.azlyrics.com/lyrics/recklesskelly/thinkinboutyouallnight.html
Funerals,Pears,2020,https://www.azlyrics.com/lyrics/pears/funerals.html
GIRL LIKE ME,Black Eyed Peas,2020,https://www.azlyrics.com/lyrics/blackeyedpeas/girllikeme.html
"All Yours, All Night",Russell Dickerson,2020,https://www.azlyrics.com/lyrics/russelldickerson/allyoursallnight.html
Wither To Black,Sons Of Apollo,2020,https://www.azlyrics.com/lyrics/sonsofapollo/withertoblack.html
In The City,Jack,2020,https://www.azlyrics.com/lyrics/jack/inthecity.html
Durch Den Sturm,"Fischer, Helene",2020,https://www.azlyrics.com/lyrics/helenefischer/durchdensturm.html
You Dancy,Tommy Lee,2020,https://www.azlyrics.com/lyrics/tommylee/youdancy.html
I Just Love You,UPPERROOM,2020,https://www.azlyrics.com/lyrics/upperroom/ijustloveyou.html
Cowgirl Blues (Mark Wystrach Vocal),Midland,2021,https://www.azlyrics.com/lyrics/midland/cowgirlbluesmarkwystrachvocal.html
Lights On,"Blue Stones, The",2021,https://www.azlyrics.com/lyrics/bluestones/lightson.html
Le Couteau,Mansfield.TYA,2021,https://www.azlyrics.com/lyrics/mansfieldtya/lecouteau.html
